,uid,text,clean_text,predicted,predicted_proba
0,20803,@ 454dkhan @ Heisunberg _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…  ,dkhan heisunberg agr kse ko itni importantc chaeay ni tou ðÿ˜…,neutral,"tensor([0.2062, 0.6600, 0.1338])"
1,20187,logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦ https // t . co / hBg7zS0viy  ,logon ko alloo pyaz tomat toh allah pak ka naam nazar aa jata hai pr aankhon k samn allah pak ke band nazar â€¦ co hbgzsviy,positive,"tensor([0.1664, 0.3642, 0.4694])"
2,20953,@ LambaAlka Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar @ ArvindKejriwal â€¦ https // t . co / krVTd1ZAEK  ,lambaalka wafadaar bane rahan ka nayab tarika hai lamba ji aap us parti se judi hai jiska sardar arvindkejriw â€¦ co krvtdzaek,positive,"tensor([0.1418, 0.3928, 0.4654])"
3,13777,@ varnishant @ narendramodi Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .  ,varnish narendramodi chup bhosdik exoner charg tum log ghanta prove nahi kar paay,negative,"tensor([0.7054, 0.1891, 0.1056])"
4,20990,RT @ HardeepSPuri à¨¦à¨¾à¨¤à¨¾ à¨¸à©‹ à¨¸à¨¾à¨²à¨¾à¨¹à©€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à©ˆ à¨¦à©‡ à¨†à¨§à¨¾à¨°à© à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦  ,hardeepspuri à¨¦à¨¾à¨¤à¨¾ à¨¸à©‹ à¨¸à¨¾à¨²à¨¾à¨¹à©€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à©ˆ à¨¦à©‡ à¨†à¨§à¨¾à¨°à© à¥¥ prais great giver give susten paid obeis gurudwara sr â€¦,positive,"tensor([0.0062, 0.2370, 0.7568])"
5,15075,@ bomanirani # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  ,bomanirani hni ki announc hogyi humka iss gola nhi rehna hum nikal jaounga dusr gola,negative,"tensor([0.4611, 0.3509, 0.1880])"
6,32292,RT @ SharmakeF We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦  ,sharmakef almost final threeday ramadan â€” close finish line let make sure doubl â€¦,neutral,"tensor([0.4244, 0.4705, 0.1051])"
7,4622,@ 6thrat This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings ! https // t . co / lG4IW3Qu6q  ,thrat song make super happi sing take khush raho abaad raho hemant da bless co lgiwquq,positive,"tensor([0.0449, 0.2669, 0.6882])"
8,22338,@ sadifabi @ Shahidmasooddr tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?  ,sadifabi shahidmasooddr tm dikha rhi ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood,negative,"tensor([0.7592, 0.1720, 0.0688])"
9,23996,@ TheVampsCon you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—  ,thevampscon made nadi happi today thank much realli love see one best friend happi ðÿ’—,positive,"tensor([0.0027, 0.1330, 0.8643])"
