Uid,Sentiment,clean_text,proba,preds
20803,neutral,  _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…  ,[-1.8736023   2.387574   -0.12829947],1
20187,positive,logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦  // t . co / hBg7zS0viy  ,[-1.8561368  1.0053346  1.1102054],2
20953,negative, Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar  â€¦  // t . co / krVTd1ZAEK  ,[ 0.84218067  0.00791598 -1.0703624 ],0
13777,negative,  Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .  ,[ 2.1997087 -1.0965257 -1.6273665],0
20990,positive,  à¨¦à¨¾à¨¤à¨¾ à¨¸à:copyright:‹ à¨¸à¨¾à¨²à¨¾à¨¹à:copyright:€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à:copyright:ˆ à¨¦à:copyright:‡ à¨†à¨§à¨¾à¨°à:copyright: à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦  ,[-2.3824     1.0456355  2.1758437],2
15075,neutral, # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  ,[-0.7433382  1.2967116 -0.7815842],1
32292,neutral,  We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦  ,[-2.226501   1.7228925  0.5380485],1
4622,positive, This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings !  // t . co / lG4IW3Qu6q  ,[-2.3838995  0.120488   2.8023858],2
22338,negative,  tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?  ,[ 1.2909349  -0.35895082 -1.124481  ],0
23996,positive, you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—  ,[-2.3035986   0.05944144  2.9232678 ],2
10426,positive,    Wah bhai Shandaar jabab  ,[-2.2600048   0.33798358  2.4939547 ],2
3038,neutral,     _ goa  _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦  ,[-0.00252386  0.5584233  -0.7716659 ],1
37328,negative, Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da  ,[ 1.8313055 -0.9004792 -1.3193347],0
11313,neutral,Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦  // t co / Dlsp4clk52  ,[-1.0859723   1.2441094  -0.46612686],1
32158,positive,   Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko  ,[-2.2892306  -0.08070619  2.9396229 ],2
2598,neutral,  Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦  ,[-1.037051    1.9022137  -0.91422683],1
12837,neutral,  _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤—  // t . co / dNFMsFJNcF  ,[-1.226866   2.3386667 -1.088501 ],1
26050,negative,Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar   â€¦  // t . co / 3FfAp8y2GP  ,[ 0.9783585  -0.15810274 -1.4147918 ],0
30898,neutral,  Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡:registered:ðŸ‡³  ,[ 0.40492186  0.7105837  -1.2540227 ],1
22656,neutral,    Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦  // t co / d4uOIcb562  ,[-1.6748378   1.9987249  -0.30127177],1
2755,negative,Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦  // t co / DKMZdwqd1c  ,[ 2.2159646 -1.1630954 -1.617248 ],0
16061,neutral,  _ BANERJ _ E  Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦  // t co / GPIt7Q9zJx  ,[ 0.24763732  0.7511345  -1.1670762 ],1
3364,negative, Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦  // t co / EvFXqDkBZn  ,[ 0.6504523   0.20219794 -1.2502339 ],0
2926,positive, Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦  // tco / K8OGQIeznf  ,[-2.3000717  0.4581483  2.485149 ],2
29391,neutral, __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti  ,[-0.33803925  0.91586936 -0.55023617],1
36692,positive,  Congrats and best of luck to   he reminds about you of your looks o â€¦  // t co / xn4pbtUiCz  ,[-2.4976943   0.47682288  2.7584777 ],2
24682,positive,  Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦  ,[-2.2606642  1.1810075  1.7678623],2
21692,neutral,  You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦  ,[-1.9809134  1.3463736  1.1164712],1
16349,negative, Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per  ,[ 1.5613039 -0.6912118 -1.1899979],0
22282,neutral, why did i not see them kuch mahine pehle eye -  ,[-1.0135713  2.1028411 -1.0507803],1
9078,neutral, Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega  aaram se elections jeetegi ... Aur ent â€¦  // t . co / Djgtp4hTtb  ,[-0.13973333  0.8546021  -0.8697921 ],1
10672,neutral,i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .  ,[-1.3150368   2.1305969  -0.85270816],1
44031,negative, Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦  // t . co / 0msQw3omXN  ,[ 2.3392105 -1.4370042 -1.522062 ],0
36522,positive,Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat  ,[-2.3303845  -0.01622555  2.9023042 ],2
16135,negative, _ dhoni  iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii  ,[ 2.1176128 -1.0671142 -1.6073523],0
