Uid,Sentiment,clean_text,proba,preds,actual
16677,neutral,  _ national  Baba Ramdev sahi farma rahey hey . If population policy is not strict mAbadi badhti hi jayegi  ,[ 0.08222599  0.10708229 -0.23285094],1,positive
16986,positive,Hamare nabinji odissa c m congratulations apko bahut bahut badhai ho ji  ,[-2.3554695  -0.41138816  2.6369529 ],2,positive
12168,negative,  maa ko pairo se nahi raunda jata .... kya koi apni sagi maa ko pairo se raund sakta hai …  // t . co / JjzoNgIOHa  ,[ 1.5367397  -0.07518205 -1.4142118 ],0,negative
6598,neutral,  Ab kia kia es me sharat bhi nhi ki sad bnai phr bhi :confused_face::smiling_face_with_horns::unamused_face:  ,[-0.6090989   0.7744563  -0.13244602],1,neutral
26490,negative, pallavighosh Food packet choro gaadi pe kapada maro wo dekho kawue ne bit bit khel diya hai :beaming_face_with_smiling_eyes:  ,[ 1.3491648   0.32843897 -1.4057059 ],0,neutral
40489,positive, Inka baap jitega world Cup India :India::flexed_biceps:  ,[-2.6817505   0.02769302  2.256678  ],2,negative
30717,positive,World Cup FanAnthem by  _ India has made my day a lot more amazing . Fingers crossed for Team India . Cup toh hume …  // t . co / I46W5a7bjJ  ,[-2.3735137 -0.518441   2.4418867],2,positive
28246,neutral,  Your heart will kill you faster than the bullet  ,[-0.3106044   0.60468036 -0.17195323],1,neutral
13662,positive,Awww ! I love you too so so much :two_hearts::face_blowing_a_kiss:  // t . co / uhNCyAatUQ  ,[-2.7629924 -0.2811034  2.475078 ],2,positive
26804,negative, TCC scam ab kuch nahi hone wala .... Maine 1 BTC + dubo diya isme ... Don't Invest  ,[ 1.1246599  0.6462657 -1.6696485],0,neutral
24568,negative, Ghanta ...... Khaane ko Roti nahi Aawam Pareshaan hai Mehangayi se aur Imran aur Fauz ke Generals ne …  // t . co / IbfgRErKav  ,[ 1.312421   -0.29623577 -1.1294745 ],0,negative
15004,positive,    _ singh  _ THORe Sir aap sabse ache father ho jo aapke pass etn …  // t . co / QT2M3wILv1  ,[-1.8569664   0.64036673  0.9278972 ],2,positive
38961,negative,   Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...  ,[ 2.1561236 -0.3656633 -1.6721559],0,negative
14285,neutral,   _ arif      _ Ind  Mtlb tu suvar ka bacha h  ,[ 0.39617464  1.2048436  -1.2831768 ],1,negative
19438,negative,   is se Tere Savarkar ki cowardice Nahi chupega Jo to ker Raha hai Isko whatbou …  // t co / L7ckN40ZN0  ,[ 1.1264098   0.45770878 -1.4409803 ],0,neutral
24623,negative, Shame on you & your family jis bhutto k Naam pe Politics kar rahy ho Uski Jooti :man’s_shoe: k barabar bhi nhe ho tum log  ,[ 2.273277  -0.8096968 -1.4956465],0,negative
28932,negative, Samja chutiye ... Yeh har congress jaise deshdrohi aur tere jaise randwe congress ke supporters ki h …  // t . co / Cbz1xAWir7  ,[ 2.4859633 -0.6468074 -1.7232028],0,negative
14721,negative, lanat aesy ghatya orton pr lanat aesy program krny walon pr  ,[ 1.3722967  -0.15514737 -1.2278008 ],0,negative
31620,positive,Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies …  // tco / 8g72qqE4hp  ,[-3.061188   1.2421522  1.8329127],2,positive
13870,positive,  _ TheFilm Best of luck my love # iloveyoulotofmyloveyou 5 june ke liye god bless you …  // t . co / P4zVjelg7G  ,[-2.7753868   0.21124652  2.392058  ],2,positive
9776,neutral, Yeh sub aap logo ki dua aur kartoot ka natija hai . Sorry Nabil bhai Abu bachao muhim aur bhi problems l …  // t . co / cKKSf77suB  ,[-0.4288425  1.1973202 -0.7073039],1,positive
24585,negative, Behan ke lodey dekh tere chahte Pakistan mein hinduo ka bina mushkil ho gaya Ram Kal ki 2 betiyon ka …  // t . co / pkYdrFFj17  ,[ 1.4851741 -0.2124769 -1.3651947],0,negative
35530,negative,   Ye ria congressi hai koi kal isne pakistan ki kisi ghatna ke liye modi ko blame kiya tha  ,[ 1.2528116   0.02858206 -1.2550318 ],0,positive
