Uid,Sentiment,clean_text,proba,preds,actual
16677,neutral,  _ national  Baba Ramdev sahi farma rahey hey . If population policy is not strict mAbadi badhti hi jayegi  ,[-0.983995   0.883898  -0.0585549],1,positive
16986,positive,Hamare nabinji odissa c m congratulations apko bahut bahut badhai ho ji  ,[-2.2473793  -0.00812466  2.8953428 ],2,positive
12168,neutral,  maa ko pairo se nahi raunda jata .... kya koi apni sagi maa ko pairo se raund sakta hai …  // t . co / JjzoNgIOHa  ,[-0.9155137   1.3528181  -0.29483002],1,negative
6598,neutral,  Ab kia kia es me sharat bhi nhi ki sad bnai phr bhi :confused_face::smiling_face_with_horns::unamused_face:  ,[-1.8832667  2.009754   0.3034255],1,neutral
26490,neutral, pallavighosh Food packet choro gaadi pe kapada maro wo dekho kawue ne bit bit khel diya hai :beaming_face_with_smiling_eyes:  ,[ 0.54693455  0.73476785 -1.2675031 ],1,neutral
40489,positive, Inka baap jitega world Cup India :India::flexed_biceps:  ,[-0.76429784  0.23124516  0.8884247 ],2,negative
30717,positive,World Cup FanAnthem by  _ India has made my day a lot more amazing . Fingers crossed for Team India . Cup toh hume …  // t . co / I46W5a7bjJ  ,[-2.1629646   0.01887215  2.6837301 ],2,positive
28246,neutral,  Your heart will kill you faster than the bullet  ,[-0.28837672  0.7327776  -0.31659797],1,neutral
13662,positive,Awww ! I love you too so so much :two_hearts::face_blowing_a_kiss:  // t . co / uhNCyAatUQ  ,[-2.1477234  -0.01284001  2.7345078 ],2,positive
26804,negative, TCC scam ab kuch nahi hone wala .... Maine 1 BTC + dubo diya isme ... Don't Invest  ,[ 1.285582    0.04032968 -1.6507982 ],0,neutral
24568,negative, Ghanta ...... Khaane ko Roti nahi Aawam Pareshaan hai Mehangayi se aur Imran aur Fauz ke Generals ne …  // t . co / IbfgRErKav  ,[ 1.9399434  -0.86521155 -1.4362044 ],0,negative
15004,neutral,    _ singh  _ THORe Sir aap sabse ache father ho jo aapke pass etn …  // t . co / QT2M3wILv1  ,[-1.7635822   1.5059127   0.23884273],1,positive
38961,negative,   Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...  ,[ 2.0764954  -0.91404533 -1.6688734 ],0,negative
14285,neutral,   _ arif      _ Ind  Mtlb tu suvar ka bacha h  ,[-0.03041184  1.2489927  -1.0873852 ],1,negative
19438,negative,   is se Tere Savarkar ki cowardice Nahi chupega Jo to ker Raha hai Isko whatbou …  // t co / L7ckN40ZN0  ,[ 1.4432142  -0.24398111 -1.6291687 ],0,neutral
24623,negative, Shame on you & your family jis bhutto k Naam pe Politics kar rahy ho Uski Jooti :man’s_shoe: k barabar bhi nhe ho tum log  ,[ 2.1747253 -1.1629716 -1.5349714],0,negative
28932,negative, Samja chutiye ... Yeh har congress jaise deshdrohi aur tere jaise randwe congress ke supporters ki h …  // t . co / Cbz1xAWir7  ,[ 2.1877666 -1.2423724 -1.4279552],0,negative
14721,negative, lanat aesy ghatya orton pr lanat aesy program krny walon pr  ,[ 1.6945114  -0.90425056 -1.2707171 ],0,negative
31620,neutral,Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies …  // tco / 8g72qqE4hp  ,[-1.6425158   1.8665199  -0.06255843],1,positive
13870,positive,  _ TheFilm Best of luck my love # iloveyoulotofmyloveyou 5 june ke liye god bless you …  // t . co / P4zVjelg7G  ,[-2.3484044   0.47458288  2.6302965 ],2,positive
9776,neutral, Yeh sub aap logo ki dua aur kartoot ka natija hai . Sorry Nabil bhai Abu bachao muhim aur bhi problems l …  // t . co / cKKSf77suB  ,[ 0.03683218  0.81465936 -0.95974064],1,positive
24585,negative, Behan ke lodey dekh tere chahte Pakistan mein hinduo ka bina mushkil ho gaya Ram Kal ki 2 betiyon ka …  // t . co / pkYdrFFj17  ,[ 1.3244956  -0.41969618 -1.0397722 ],0,negative
35530,negative,   Ye ria congressi hai koi kal isne pakistan ki kisi ghatna ke liye modi ko blame kiya tha  ,[ 1.6881003 -0.7066794 -1.3708392],0,positive
16804,neutral,  Ssahi baat ... n love jehad me barbad hui ladkiyon ko samaj k taraf se v koi help kavi …  // t . co / bBfwTufDOK  ,[-1.8084791   1.2902069   0.82034844],1,positive
27005,negative, _ pipal   Ye konsa print media authorised hai .. abe chutiye vha pe candidate ke member …  // t . co / h2JtC6IYu2  ,[ 2.138394  -1.0134977 -1.6679851],0,negative
37999,positive,  Wishing the very best for our AP CM  I am sure he will grown bigger than his great father Many more terms ahea …  ,[-2.329651    0.04590696  2.937224  ],2,neutral
9986,neutral,  This highlight news telecast at # MadarsaNews aap ko rakhe Aage .. Hamesha Lage raho  ,[-0.57944494  1.0236655  -0.5231676 ],1,neutral
30960,neutral,        _ Diva13   …  // t co / xwJZtX2vvW  ,[-1.6441312   2.6435058  -0.85165423],1,neutral
42504,negative, Suwar ki Aulad British Media tujhe bahut chinta ho rahi hai . Jitna India KO tum harami ne banta aur lutta …  // t . co / 5VDSXig9IE  ,[ 2.1586912 -1.1041785 -1.6112309],0,negative
28036,positive, Indian Prime minister Shri Narendar modi ji Badhai congratulations  ,[-2.345788    0.05442868  2.8500807 ],2,positive
34821,neutral, Tere jaise channel love band hona chaie . Muslim ne sadak par pure parivar ko maar Diya . par tum jaise …  // t . co / q5eV80lXje  ,[-0.24876867  0.69105417 -0.6754055 ],1,negative
35140,negative,Lekin farq ye hai arabs k pass tail hai jise wo bech kr khud ko chalate hain or khi jo sirf akela baap bun kr baki …  // t . co / szRhCVtyrK  ,[ 0.9858392  -0.15005921 -1.1747549 ],0,neutral
2212,negative,  Fake news coz yrf itni badi galti ni krga .. # ShahRukhKhan ko ab action me psnd nhi krgi audie …  // t . co / JAgmdGrOtQ  ,[ 0.79322165  0.31890658 -1.3124717 ],0,neutral
31698,neutral, ji Aapka vikalp congress to kya is desh me nahi hai Main to kahunga universe me nahi hoga …  // t co / Hswe03Gwf7  ,[-0.3151255   1.0240002  -0.83851796],1,neutral
7758,negative, Sorry to film Vivek Oberoi ki wajah see fail Hui hai koi achha actor Lena chahiye tha  ,[ 0.79460925  0.41715622 -1.5617869 ],0,negative
37677,neutral,   _ Beast  Bhaitards ka paltu kutta hai ye  Ajay pe tweet karo toh 5 retweet nahi aate Aks …  ,[ 0.3360969  0.6495739 -1.2739952],1,negative
40725,neutral, _ Seeker   Al-Hamd O Lillah me khud ki kamai pe Zindagi guzar rha hn or 3 families ko support kr rha hn . Ab bolo  ,[-0.16966984  1.0791732  -0.8183784 ],1,neutral
37097,positive,Good Morning Cute  _ Kartikeyan Annaa :two_hearts::smiling_face_with_heart-eyes::hugging_face: Happy Sunday Annaaaa :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:  // t . co / go4afvwOVh  ,[-2.6905622  0.9638403  2.474444 ],2,positive
25922,neutral, _ Sincerity agar ho to thek otherwise whoi bezti bhe kar saktai  ,[ 0.4486429  0.8969881 -1.4018995],1,neutral
6442,positive,  Safar khoobsurat he mazil se bhi Happy wedding aniversery avneil # Naamkarann # AdiZa # AvNeilSecondAnniversary # Avneil # Zai …  ,[-2.5657222   0.75773746  2.5622883 ],2,positive
33843,neutral,  # uppscscam Where is opposition ??? where is media democracy fourth pillar ??? kya is country me beef cow Mandir masjid samsan …  ,[ 0.4046773   0.95962775 -1.6504762 ],1,negative
33525,positive, _ 00 Ur ma everything My backbone for life ily bestie .:loudly_crying_face::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:  ,[-2.540988   0.4980011  2.6863313],2,positive
38013,positive,:rosette: Good Morning  papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa …  // t co / 0dV6taauuH  ,[-2.3156345   0.40097302  2.4628077 ],2,positive
38112,neutral,  Bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nhi dekhega sir or na hi koi nari …  // t co / FGMRi15lJk  ,[-1.7658393  1.053949   0.8238633],1,negative
1444,positive,Wkwkwk kalah gw sama anjinganjing ultah trending gw ultah gak trending2 . Happy Birthday Vivi Wish you long life an …  // t . co / SD8OIm42xN  ,[-2.4197936   0.36002472  2.7598336 ],2,neutral
44071,neutral,Ek time tha jb bjp per congress hass rhi thi or Aaaj congress per Pura India hass rha hi ....:smiling_face_with_halo:  ,[-0.7601488   0.9334991  -0.36087275],1,negative
