,uid,sentiment,text,clean_text,predicted,predicted_proba
7135,16677,positive,@ asadowaisi @ aimim _ national @ narendramodi Baba Ramdev sahi farma rahey hey . If population policy is not strict mAbadi badhti hi jayegi  ,asadowaisi aimim nation narendramodi baba ramdev sahi farma rahey hey popul polici strict mabadi badhti hi jayegi,neutral,"tensor([0.3049, 0.3907, 0.3044])"
7291,16986,positive,Hamare nabinji odissa c m congratulations apko bahut bahut badhai ho ji  ,hamar nabinji odissa c congratul apko bahut bahut badhai ho ji,positive,"tensor([0.0131, 0.1402, 0.8467])"
4608,12168,negative,@ Mahende67015515 @ RahulGandhi maa ko pairo se nahi raunda jata .... kya koi apni sagi maa ko pairo se raund sakta hai … https // t . co / JjzoNgIOHa  ,mahend rahulgandhi maa ko pairo se nahi raunda jata kya koi apni sagi maa ko pairo se raund sakta hai … co jjzongioha,negative,"tensor([0.8256, 0.1201, 0.0542])"
3021,6598,neutral,@ alehsfeemi @ MrDannyxX007 Ab kia kia es me sharat bhi nhi ki sad bnai phr bhi 😕😈😒  ,alehsfeemi mrdannyxx ab kia kia es sharat bhi nhi ki sad bnai phr bhi 😕😈😒,neutral,"tensor([0.4328, 0.4892, 0.0780])"
11178,26490,neutral,@_ pallavighosh Food packet choro gaadi pe kapada maro wo dekho kawue ne bit bit khel diya hai 😁  ,pallavighosh food packet choro gaadi pe kapada maro wo dekho kawu ne bit bit khel diya hai 😁,negative,"tensor([0.5046, 0.3778, 0.1175])"
15409,40489,negative,@ mahamahim555 Inka baap jitega world Cup India 🇮🇳💪  ,mahamahim inka baap jitega world cup india 🇮🇳💪,positive,"tensor([0.2993, 0.2437, 0.4571])"
12970,30717,positive,World Cup FanAnthem by @ Uber _ India has made my day a lot more amazing . Fingers crossed for Team India . Cup toh hume … https // t . co / I46W5a7bjJ  ,world cup fananthem uber india made day lot amaz finger cross team india cup toh hume … co iwabjj,negative,"tensor([0.4260, 0.3380, 0.2360])"
12008,28246,neutral,RT @ meethapratha Your heart will kill you faster than the bullet  ,meethapratha heart kill faster bullet,neutral,"tensor([0.2994, 0.4079, 0.2927])"
5387,13662,positive,Awww ! I love you too so so much 💕😘 https // t . co / uhNCyAatUQ  ,awww love much 💕😘 co uhncyaatuq,positive,"tensor([0.0018, 0.1496, 0.8486])"
11336,26804,neutral,@ THETCCWORLD TCC scam ab kuch nahi hone wala .... Maine 1 BTC + dubo diya isme ... Don't Invest  ,thetccworld tcc scam ab kuch nahi hone wala main btc dubo diya ism dont invest,neutral,"tensor([0.2616, 0.5962, 0.1422])"
10507,24568,negative,@ peaceforchange Ghanta ...... Khaane ko Roti nahi Aawam Pareshaan hai Mehangayi se aur Imran aur Fauz ke Generals ne … https // t . co / IbfgRErKav  ,peaceforchang ghanta khaan ko roti nahi aawam pareshaan hai mehangayi se aur imran aur fauz ke gener ne … co ibfgrerkav,negative,"tensor([0.4746, 0.4066, 0.1188])"
6206,15004,positive,@ AjitNandal @ narendramodi @ virendersehwag @ harbhajan _ singh @ Ra _ THORe Sir aap sabse ache father ho jo aapke pass etn … https // t . co / QT2M3wILv1  ,ajitnand narendramodi virendersehwag harbhajan singh ra thore sir aap sabs ach father ho jo aapk pass etn … co qtmwilv,neutral,"tensor([0.1114, 0.4516, 0.4370])"
1689,38961,negative,RT @ Mahendr83278547 @ IndiaToday Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...  ,mahendr indiatoday teri kimat dokodi ki ho gayi amit shah captur telegana soon kcr resign,negative,"tensor([0.4918, 0.2804, 0.2278])"
5774,14285,negative,@ saleembeg92 @ rjvjb @ gehlot _ arif @ RubikaLiyaquat @ abpnewstv @ sambitswaraj @ tehseenp @ Shehzad _ Ind @ AratiJ Mtlb tu suvar ka bacha h  ,saleembeg rjvjb gehlot arif rubikaliyaquat abpnewstv sambitswaraj tehseenp shehzad ind aratij mtlb tu suvar ka bacha h,negative,"tensor([0.5146, 0.3722, 0.1132])"
