Uid,Sentiment,clean_text,proba,preds,actual
16677,neutral,  _ national  Baba Ramdev sahi farma rahey hey . If population policy is not strict mAbadi badhti hi jayegi  ,[-0.88414     0.8290897  -0.06980912],1,positive
16986,positive,Hamare nabinji odissa c m congratulations apko bahut bahut badhai ho ji  ,[-1.8213257 -0.3234752  2.712441 ],2,positive
12168,negative,  maa ko pairo se nahi raunda jata .... kya koi apni sagi maa ko pairo se raund sakta hai …  // t . co / JjzoNgIOHa  ,[ 0.40532833  0.28896192 -0.8617844 ],0,negative
6598,neutral,  Ab kia kia es me sharat bhi nhi ki sad bnai phr bhi :confused_face::smiling_face_with_horns::unamused_face:  ,[ 0.36333477  1.0117291  -1.4193192 ],1,neutral
26490,negative, pallavighosh Food packet choro gaadi pe kapada maro wo dekho kawue ne bit bit khel diya hai :beaming_face_with_smiling_eyes:  ,[ 1.1203213   0.18636781 -1.6368611 ],0,neutral
40489,positive, Inka baap jitega world Cup India :India::flexed_biceps:  ,[-0.40562558 -0.34124097  1.0529541 ],2,negative
30717,positive,World Cup FanAnthem by  _ India has made my day a lot more amazing . Fingers crossed for Team India . Cup toh hume …  // t . co / I46W5a7bjJ  ,[-2.0152872  -0.14790274  2.688525  ],2,positive
28246,neutral,  Your heart will kill you faster than the bullet  ,[-0.7659835  1.1512138 -0.6836979],1,neutral
13662,positive,Awww ! I love you too so so much :two_hearts::face_blowing_a_kiss:  // t . co / uhNCyAatUQ  ,[-2.250534    0.15264426  2.6205966 ],2,positive
26804,negative, TCC scam ab kuch nahi hone wala .... Maine 1 BTC + dubo diya isme ... Don't Invest  ,[ 1.6070899   0.12542276 -1.9281881 ],0,neutral
24568,negative, Ghanta ...... Khaane ko Roti nahi Aawam Pareshaan hai Mehangayi se aur Imran aur Fauz ke Generals ne …  // t . co / IbfgRErKav  ,[ 0.86113346  0.07474189 -1.0091059 ],0,negative
15004,positive,    _ singh  _ THORe Sir aap sabse ache father ho jo aapke pass etn …  // t . co / QT2M3wILv1  ,[-1.8381422   0.02850782  2.5934837 ],2,positive
38961,negative,   Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...  ,[ 1.7275882  -0.80098087 -1.1318369 ],0,negative
14285,negative,   _ arif      _ Ind  Mtlb tu suvar ka bacha h  ,[ 1.7380534  -0.86438805 -1.0136951 ],0,negative
19438,negative,   is se Tere Savarkar ki cowardice Nahi chupega Jo to ker Raha hai Isko whatbou …  // t co / L7ckN40ZN0  ,[ 1.9756613  -0.65363854 -1.6073353 ],0,neutral
24623,negative, Shame on you & your family jis bhutto k Naam pe Politics kar rahy ho Uski Jooti :man’s_shoe: k barabar bhi nhe ho tum log  ,[ 2.7969508 -1.5075349 -1.6303735],0,negative
28932,negative, Samja chutiye ... Yeh har congress jaise deshdrohi aur tere jaise randwe congress ke supporters ki h …  // t . co / Cbz1xAWir7  ,[ 2.774032  -1.5660447 -1.6086545],0,negative
14721,negative, lanat aesy ghatya orton pr lanat aesy program krny walon pr  ,[ 1.4330556  -0.39931935 -0.9860336 ],0,negative
31620,neutral,Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies …  // tco / 8g72qqE4hp  ,[-2.3870568   2.2998793   0.37214088],1,positive
13870,positive,  _ TheFilm Best of luck my love # iloveyoulotofmyloveyou 5 june ke liye god bless you …  // t . co / P4zVjelg7G  ,[-2.310326    0.45676288  2.5802433 ],2,positive
9776,neutral, Yeh sub aap logo ki dua aur kartoot ka natija hai . Sorry Nabil bhai Abu bachao muhim aur bhi problems l …  // t . co / cKKSf77suB  ,[-1.353745    1.4575334   0.29490063],1,positive
24585,negative, Behan ke lodey dekh tere chahte Pakistan mein hinduo ka bina mushkil ho gaya Ram Kal ki 2 betiyon ka …  // t . co / pkYdrFFj17  ,[ 1.8121758  -0.69018745 -1.1522844 ],0,negative
35530,negative,   Ye ria congressi hai koi kal isne pakistan ki kisi ghatna ke liye modi ko blame kiya tha  ,[ 2.6310787 -1.3153123 -1.6394198],0,positive
16804,neutral,  Ssahi baat ... n love jehad me barbad hui ladkiyon ko samaj k taraf se v koi help kavi …  // t . co / bBfwTufDOK  ,[-0.9554897   1.3327007  -0.22157554],1,positive
27005,negative, _ pipal   Ye konsa print media authorised hai .. abe chutiye vha pe candidate ke member …  // t . co / h2JtC6IYu2  ,[ 2.1682646 -0.6221139 -1.8565708],0,negative
37999,positive,  Wishing the very best for our AP CM  I am sure he will grown bigger than his great father Many more terms ahea …  ,[-1.733678   -0.11571521  2.4820852 ],2,neutral
9986,neutral,  This highlight news telecast at # MadarsaNews aap ko rakhe Aage .. Hamesha Lage raho  ,[-2.5006816  1.5513653  1.3557111],1,neutral
30960,neutral,        _ Diva13   …  // t co / xwJZtX2vvW  ,[-2.1624773   2.3584754   0.01131729],1,neutral
42504,negative, Suwar ki Aulad British Media tujhe bahut chinta ho rahi hai . Jitna India KO tum harami ne banta aur lutta …  // t . co / 5VDSXig9IE  ,[ 1.7761831 -0.8064577 -1.0330967],0,negative
28036,positive, Indian Prime minister Shri Narendar modi ji Badhai congratulations  ,[-1.5662063  -0.24959533  2.4782963 ],2,positive
34821,negative, Tere jaise channel love band hona chaie . Muslim ne sadak par pure parivar ko maar Diya . par tum jaise …  // t . co / q5eV80lXje  ,[ 1.9905615 -0.8496167 -1.2588506],0,negative
35140,negative,Lekin farq ye hai arabs k pass tail hai jise wo bech kr khud ko chalate hain or khi jo sirf akela baap bun kr baki …  // t . co / szRhCVtyrK  ,[ 1.5545893  -0.21999909 -1.3551769 ],0,neutral
2212,neutral,  Fake news coz yrf itni badi galti ni krga .. # ShahRukhKhan ko ab action me psnd nhi krgi audie …  // t . co / JAgmdGrOtQ  ,[ 0.74585634  0.8231412  -1.6996522 ],1,neutral
31698,neutral, ji Aapka vikalp congress to kya is desh me nahi hai Main to kahunga universe me nahi hoga …  // t co / Hswe03Gwf7  ,[-0.8971518   0.8380296   0.10028363],1,neutral
7758,negative, Sorry to film Vivek Oberoi ki wajah see fail Hui hai koi achha actor Lena chahiye tha  ,[ 0.5892696   0.30817184 -0.88836616],0,negative
37677,neutral,   _ Beast  Bhaitards ka paltu kutta hai ye  Ajay pe tweet karo toh 5 retweet nahi aate Aks …  ,[ 0.45477533  1.1555836  -1.8158717 ],1,negative
40725,neutral, _ Seeker   Al-Hamd O Lillah me khud ki kamai pe Zindagi guzar rha hn or 3 families ko support kr rha hn . Ab bolo  ,[-1.4404182  1.1029366  0.5831243],1,neutral
37097,positive,Good Morning Cute  _ Kartikeyan Annaa :two_hearts::smiling_face_with_heart-eyes::hugging_face: Happy Sunday Annaaaa :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:  // t . co / go4afvwOVh  ,[-2.4025483   0.55142206  2.516908  ],2,positive
25922,neutral, _ Sincerity agar ho to thek otherwise whoi bezti bhe kar saktai  ,[ 0.11967477  0.720711   -1.0272115 ],1,neutral
6442,positive,  Safar khoobsurat he mazil se bhi Happy wedding aniversery avneil # Naamkarann # AdiZa # AvNeilSecondAnniversary # Avneil # Zai …  ,[-2.1207042   0.37969282  2.4695203 ],2,positive
33843,neutral,  # uppscscam Where is opposition ??? where is media democracy fourth pillar ??? kya is country me beef cow Mandir masjid samsan …  ,[ 0.62389535  0.77341825 -1.6242573 ],1,negative
33525,positive, _ 00 Ur ma everything My backbone for life ily bestie .:loudly_crying_face::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:  ,[-2.25049    0.4406765  2.4850466],2,positive
38013,positive,:rosette: Good Morning  papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa …  // t co / 0dV6taauuH  ,[-2.6316028  0.6384736  2.520902 ],2,positive
38112,positive,  Bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nhi dekhega sir or na hi koi nari …  // t co / FGMRi15lJk  ,[-2.3133445  0.9365962  1.5641699],2,negative
1444,positive,Wkwkwk kalah gw sama anjinganjing ultah trending gw ultah gak trending2 . Happy Birthday Vivi Wish you long life an …  // t . co / SD8OIm42xN  ,[-2.448011   0.4585404  2.596801 ],2,neutral
44071,neutral,Ek time tha jb bjp per congress hass rhi thi or Aaaj congress per Pura India hass rha hi ....:smiling_face_with_halo:  ,[-1.7048963   1.3851289   0.57662004],1,negative
1300,negative,Congressi mahino se chilla rahe the 56 inch is bluff Ab dekho kya halat ho gayi 56 seats bhi nahi mili :face_with_tears_of_joy::face_with_tears_of_joy:  // t . co / qOMI6ZtwmN  ,[ 1.0476983   0.21185778 -1.4989469 ],0,negative
9157,neutral,  Aapne us bande ko block kar diya ab kya fayda share karne ka ? Asli comment to wo deta  ,[ 0.13405424  1.319502   -1.6565496 ],1,neutral
31037,neutral,  sir Aapne achchha nahi kiya mantri ban kar Aapne apna kad khud hi chhota kar liya is se bjp ko …  // t . co / GSZPj2nUId  ,[-0.4561491  1.1109909 -0.7284743],1,negative
10459,positive, respected pm many many congratulations sir desh ki trakki ke liye Mera ek sujhaav hamaare desh m shaaml …  // t . co / pEQVyB1FXb  ,[-1.750303   -0.34478083  2.7143247 ],2,positive
19260,negative,  _ Poison  _ Krishna Gadho ko to ye bhi nahi pata ki Obama ab president nhi hai US ka :face_with_tears_of_joy::person_facepalming:  ,[ 0.80656224  0.02180373 -1.0307746 ],0,neutral
10537,negative,  _ Surya Paagle You are such an AskHole YOu rant shit all day no one cares u r frustrated an …  // t co / E6PxYrYqph  ,[ 1.8322101 -0.8467975 -1.2000669],0,negative
34824,positive,Happy birthday Mairoooo  May the Almighty bless you with the best of both worlds ! I wish you good hea …  // t co / nuADXqqQVQ  ,[-1.9047074  -0.19405249  2.6992042 ],2,positive
29653,neutral,Shuru ho gaya inka naatak . Modi keeps someone from BJP-RSS Huh ! Amit Shah is Home minister ! Look what we have co …  // t . co / q7bxjRqJ8Y  ,[-1.7813096   1.2807965   0.65153104],1,neutral
27322,neutral, Mansoor _ Ali Mansoor Ali agar tu Sacha Pakistani he to ye tweets karo Pakistan ke wajood ko khatra he un se go Log …  // t . co / DuTCHq9OW8  ,[ 0.3458634  0.7843239 -1.2085088],1,neutral
25929,negative,   Beta Burnol laga Debate to sale inke bhee chalega  ,[ 1.5212524   0.17063977 -1.9417801 ],0,negative
15693,negative,Kha se ati h itni pavitr ldkiya jine bc nahi pta :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:  _ villen    // t . co / oIX6ca3WHI  ,[ 2.2319264 -0.850455  -1.6068732],0,neutral
23517,positive, you have seen an KIDNAPPING film I think you are almost good to watch APHARAN (:speaker_low_volume: UP-haa-run ) ( mea …  // t . co / uQfkfYkrin  ,[-2.5807514  0.7665883  2.4045913],2,neutral
14676,positive,Modi ji ki is Etihasik jeet ke liye Hamari tarf se dher sari subhkamnaye I love modi I love my India Bharat mata ki …  // t co / B1Mii2evW0  ,[-1.6366342 -0.4428427  2.7185023],2,positive
15698,positive,  ꕊ 𝐂𝐡𝐚𝐩𝐭𝐞𝐫 𝟔 / 𝟏𝟐 ꕊ You are the best thing that ever happened to me :heart_suit:︎ ผ่านไปแล้วครึ่งปี ขอบคุณทุกคนที่อยู่กับผ…  ,[-2.414051   0.4307275  2.5700903],2,positive
20463,positive, Jai bharat congratulations p m modiji ke uper pura bharat ko Viswas hai p s rajpurohit 9949436427  ,[-2.2874794   0.12451492  2.7104523 ],2,positive
28888,neutral, Yahi hai Congress Party kee Yogyata . Congress Party mein Gandhi's ke bagair koi bhi candidate Party Adhyaksh ke kabil nahi ...  ,[ 0.22181407  0.8855577  -1.0997189 ],1,negative
19034,negative,  You mean our problem was being democratic ? Vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai .…  ,[ 0.913744   0.3156476 -1.3675361],0,negative
44216,negative, Aisey hi paon tale inke Armaan aur ye khud kuchle jayenge Aab nahi chalegi ye deshdrohi wali mansikta …  // t . co / 45Xv1LwdLq  ,[ 2.0876045 -1.1602222 -1.3102307],0,negative
22799,neutral,  _ forever Repeat after me . Hindi . Is . Not . The . National . Language . Of . India .  ,[ 0.25363964  0.7646087  -0.70957464],1,negative
36102,neutral,# NCT127 _ SUPERHUMAN # WE _ ARE _ SUPERHUMAN Every song On The fkn album Just Took My wig away stream jet lag  ,[-1.9898359   2.560609   -0.21753633],1,negative
37921,neutral, _ amanna Tamil nadu me chodo delhi ke pvt schools me hindi ki buri halat he 9th ke baad hindi he hi nahi  ,[ 0.35315704  0.9849859  -1.3416976 ],1,neutral
9624,positive, Bahut bhut subhkamnaye or badhai bhai hanumanG beniwal ko  // t . co / ILR0fTrJfC  ,[-1.9197029  -0.16150784  2.70628   ],2,neutral
31631,neutral,  _ padala  _ bug      Well …  // t co / v2WdYveusV  ,[-1.3833979   2.3646526  -0.77805823],1,neutral
40812,neutral, _ vibhor85      _ Wo to me bata dungi .... lkn ye me ne kdhr likha he .??  ,[-1.290367    2.4682353  -0.99680704],1,neutral
14993,positive, War Games is one of the best Doctor Who stories ever btw That ’ s a hill I will gladly die on I ha …  // t . co / 4bJpAeGHPb  ,[-1.9985512  -0.11784483  2.6494868 ],2,neutral
33181,neutral,bikul sahi hai ... ab jo bhi hai khairat me hai lena hai to lo nahi to kat lo ....  // t . co / 0ub285haEQ  ,[-0.71411926  1.4542123  -0.48456568],1,neutral
9688,neutral,   Wohi to hypothetically toh Raul Vinci bhi Rajiv Gandhi ke suputr hain but …  // tco / wZDcXgfpEC  ,[-0.17158096  1.5640749  -1.5260615 ],1,neutral
27539,negative,    _ Khanji  she is not bad bro Atleast gaddar toh nahin hai na jaise humhare Desh mein hai …  ,[ 1.2411547  -0.35941318 -1.1130018 ],0,positive
3318,neutral, Jab Kapra eejaad nahi hoova tha to Janwer ki Khaal hi Sardion me Jisam ko Sardi say bachanay kay waastay …  // t . co / p0ATcHdKyn  ,[-0.94789845  1.4809166  -0.22241369],1,neutral
9909,positive,Happy bdday  May god bless you . :grinning_face_with_big_eyes: enjoying the day  ,[-2.2577577   0.11759844  2.6182148 ],2,positive
7649,neutral, Let's check all the EVMS and VVPAT of GUJARAT alone ... Sab samajh Aa jaega ... Why select and choose …  // t . co / dIdnouaaPo  ,[-2.0907464   1.9589161   0.35267007],1,negative
18800,neutral,    Even the person sharing it knows it is fake not only this v …  // t . co / lMZhgXXDQS  ,[ 0.25026274  1.1921705  -1.743021  ],1,negative
20814,positive,  New Zealand World Cup jeet jaye almost utni hee khushi hogi jitni Pakistan k jeetne ki hogi . Have always had a high l …  ,[-1.3952445  -0.38487846  2.3805032 ],2,neutral
33744,positive,Good is duniya ko pyaar our pyaar karnay walon ki zarorat hai . :face_savoring_food:  // t . co / ASGmcNOKA9  ,[-2.0742688   0.14999421  2.6443703 ],2,positive
34420,neutral,  BJP ne JDU ko jyada seat se ladne diya Iska matlab yeh nahi tha ki BJP kamzor hai par inka f …  // t co / yckYyx4XXT  ,[ 0.12110704  1.0156754  -1.3083782 ],1,neutral
42755,neutral,    _ dhuvad  _ hiral :face_with_tears_of_joy::face_with_tears_of_joy::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face: heiii :thinking_face::face_with_raised_eyebrow::face_with_rolling_eyes::face_with_rolling_eyes: muje kuchh kaha kisi ne :face_with_tears_of_joy::grinning_squinting_face::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::face_with_tears_of_joy::face_with_tears_of_joy::see-no-evil_monkey::see-no-evil_monkey::see-no-evil_monkey:  ,[-1.4516943   1.5398446   0.07694563],1,neutral
30488,negative, Es desh me tum jaise chutiye rahege to kaise koi apna party ka prawakta bhejega midia to desh ka 4th …  // t co / S2h1s8cTws  ,[ 2.6544902 -1.2929155 -1.6494895],0,negative
28135,negative, Shame Shame Shame on you Mr . Sohail kiya tum ALLAH RABB UL IZZAT KAY EHKAMMAT ko maan'nai sai i …  // t . co / hccVlgtVhS  ,[ 1.1600091   0.03561648 -1.6420201 ],0,negative
22418,neutral,I just had golgappay limca and ice cream . Sbha gala tou kharab nahi huga ???  ,[-0.74401414  1.7220188  -1.0351532 ],1,neutral
13192,negative,Tumhari sabha me Tumhari gandagi sun kar vote bjp ko diye soch Es aadami ko to bahut diyaa baap ko diya to jail ga …  // t co / ODgG6yzxhd  ,[ 2.7233968 -1.5769849 -1.3961825],0,negative
34832,negative,  * krpk voice * real ass kurta give a fuck bout a spider  ,[ 2.4520953 -0.9163845 -1.657572 ],0,negative
18730,positive,My love friend Sapna ji ma aapka dil churalunga key ki hame aapk dil ma rahte h aap too mar dil ma ho my love frien …  // t . co / vI2ZpOjGJt  ,[-2.5845582  1.0772058  2.1790261],2,positive
29000,negative, Kuch samay pahle Rajiv Gandhi ji ke bare me bole the aap Abhi turant Rang badal liyeSame as Gand …  // tco / HCkTMAyzth  ,[ 1.8632567  -0.51081276 -1.773312  ],0,negative
