Uid,Sentiment,clean_text
20803,neutral,  _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…  
20187,neutral,logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦  // t . co / hBg7zS0viy  
20953,neutral, Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar  â€¦  // t . co / krVTd1ZAEK  
13777,negative,  Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .  
20990,positive,  à¨¦à¨¾à¨¤à¨¾ à¨¸à:copyright:‹ à¨¸à¨¾à¨²à¨¾à¨¹à:copyright:€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à:copyright:ˆ à¨¦à:copyright:‡ à¨†à¨§à¨¾à¨°à:copyright: à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦  
15075,neutral, # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  
32292,neutral,  We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦  
4622,positive, This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings !  // t . co / lG4IW3Qu6q  
22338,negative,  tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?  
23996,positive, you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—  
10426,positive,    Wah bhai Shandaar jabab  
3038,neutral,     _ goa  _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦  
37328,negative, Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da  
11313,neutral,Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦  // t co / Dlsp4clk52  
32158,positive,   Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko  
2598,neutral,  Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦  
12837,neutral,  _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤—  // t . co / dNFMsFJNcF  
26050,negative,Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar   â€¦  // t . co / 3FfAp8y2GP  
30898,neutral,  Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡:registered:ðŸ‡³  
22656,neutral,    Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦  // t co / d4uOIcb562  
2755,negative,Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦  // t co / DKMZdwqd1c  
16061,neutral,  _ BANERJ _ E  Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦  // t co / GPIt7Q9zJx  
3364,negative, Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦  // t co / EvFXqDkBZn  
2926,positive, Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦  // tco / K8OGQIeznf  
29391,neutral, __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti  
36692,positive,  Congrats and best of luck to   he reminds about you of your looks o â€¦  // t co / xn4pbtUiCz  
24682,positive,  Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦  
21692,neutral,  You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦  
16349,negative, Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per  
22282,neutral, why did i not see them kuch mahine pehle eye -  
9078,neutral, Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega  aaram se elections jeetegi ... Aur ent â€¦  // t . co / Djgtp4hTtb  
10672,neutral,i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .  
44031,negative, Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦  // t . co / 0msQw3omXN  
36522,positive,Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat  
16135,negative, _ dhoni  iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii  
18612,negative,Tum jaise bike hue godi media ke show me nahi Jana rashtra hit me bahut achha faisla hai . Aise media ko parmanent i â€¦  // t . co / Fyqer2WHG8  
5794,positive, My parents love them too so yes haha ðŸ˜‚ðŸ’œ almost everyone from my fam actually  
17667,neutral,Sir  Aap bhi aisa drama kr do kam se km  // t . co / hbCFHG6tek  
16583,negative,   105 all out # HarJagahDher 150 run to bante nahi lekin kashmir chahiye bc .  
25678,neutral,   Ye to aise apni details de rahe jaise iske Ghar ladki byahni ho humne apne .ðŸ˜‚ mansik santulan thik nhi iska â€¦  
10844,neutral,   corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦  
3791,negative,  Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦  // t . co / BNGlv19Wlj  
21624,positive,  Mansoor _ Ali   _ PPP  Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair  
43144,neutral, mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦  // t . co / Bi4bChsJ38  
42867,neutral, Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦  // t co / RNCi0uDlOd  
40769,positive,Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments  // t co / oQE5Fd2FBH  
17946,positive, Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !  
843,negative,   Hahaha ye bnda hrksi ko kafir kehta rehta ha Apne ilawa isay koi musalman nazr hi niata  
23329,neutral,    jai jai jai AKHELISH jai SAMAJWAD PIR 5sal jhelna padega na â€¦  // t co / avmQMEXZDQ  
43516,negative,JcdPs moulladad k hudood Goth faqeerabad me 3 chor chori karty hue Gaon walon k hath pakry gaye 1 Farar police ky hawaly . Nabi bux Pandrani  
13712,positive,Unse toh achchi hai yeh cigarette ... dil ko jalati hai magar hoton pe toh aati hai .....ðŸ’”ðŸ’”ðŸ’” SMOKING AND LOVE BOTH C â€¦  // t . co / rx1AYhkDCA  
4424,positive, All the best Team India Jeet ke aana ðŸ‡:registered:ðŸ‡³ðŸ‡:registered:ðŸ‡³  
11422,negative,   Alina butt fayyaz hasaan jsa kutta aur begarit admi ha he ni is dunia â€¦  // t . co / 91BQl9jx8Q  
17588,positive,  _ Zeeshan09 Main Turpeya Ghar se Dur # TurpeyaSong Mind Blowing Song Bhaijan ðŸ”¥ðŸ”¥ðŸ”¥ # Eid2019 # Bharat # BharatThisEid # 14DaysToBHARAT h â€¦  
8745,neutral, Esa koi exam nahi up govt . M jo in 2 saal m leak na huaa hu Ye to sarkar ki rajniti h ki na to ham â€¦  // t . co / S1s6PxoHiJ  
37006,positive, _ adi1 Listen to # Duniyaa from # LukaChuppi . I guess you'll love it ..!  
29291,neutral,  Shall we get a few more Streams in of BOY WITH LUV Before the Wembley Concert Starts ?? Leave a Screen of your Stream ! ðŸ‘‡â€¦  
5905,negative,  Secondly maa baap ki izzat b koi cheez hoti hai . Har cheez ko support karna band karo . Just because she is a woman doesn â€¦  
27921,neutral,Maleeda Sugar Free-Cholestrol Free-Gluten Free Yug me log sonch bhi nahi sakte ... ðŸ˜  // t . co / 8928pYsnwY  
8762,positive,  I trust Dhanya to be active when it comes to women's issues .  
42612,negative,Aur godi media vale ko ab v aankhe nhi khuli to Desh rasatal me chala jayega .  // t . co / byeS5LVZQi  
34997,neutral, government job ke bare me sharkar ku responsible nahi vacancy itni kam aur vo final nahi kar va pa r â€¦  // t . co / gdatpvcuFQ  
10988,negative,Shame Shame ....!! Tu kese jinda hai twitter me ? Tujhe sharam nahi aate hai kya ?? Tere upar Modi ne Dalali Kiya . T â€¦  // t . co / j8ZP2zPD8q  
14844,negative,Abay Ab b Tum log Zinda ho Sharam hoti he koi Haya hoti he Tuo Khud tu kamata nhi Jo tukhe atay k Bhao ka pata ho M â€¦  // t . co / us5jFzBRGq  
3014,neutral,  pehle to janta ne priyanka vadra gandhi ki jam ke chuski le li hai ... ab uska dhol ba â€¦  // t . co / 8X1FaF7WO4  
20448,neutral,chalo bhai tum chahe din bhar opinions kyun na rakh lo but someone else starts having opinions without bothering yo â€¦  // t . co / 4086iGSpNx  
23905,neutral,Ab btaao ki isko samprdaayik roop kisne diya us ldke ne ya muslmaan ne ?  _ IND  â€¦  // t co / HTPf2MAhxO  
37296,neutral, _ Rohatgi  Tweets people do when they are irrelevant to the point ki koi ghaas nahi dalta  
