Uid,Sentiment,clean_text,proba,preds
20803,neutral,  _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…  ,[-0.8425973   1.6533302  -0.42994425],1
20187,neutral,logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦  // t . co / hBg7zS0viy  ,[ 0.31279117  0.587942   -0.7868056 ],1
20953,neutral, Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar  â€¦  // t . co / krVTd1ZAEK  ,[ 0.16412738  0.35610247 -0.5673277 ],1
13777,negative,  Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .  ,[ 2.3763294 -0.6808522 -1.6232613],0
20990,positive,  à¨¦à¨¾à¨¤à¨¾ à¨¸à:copyright:‹ à¨¸à¨¾à¨²à¨¾à¨¹à:copyright:€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à:copyright:ˆ à¨¦à:copyright:‡ à¨†à¨§à¨¾à¨°à:copyright: à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦  ,[-2.4791508  0.6535048  1.916692 ],2
15075,negative, # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  ,[ 1.0361379   0.26830482 -1.1440116 ],0
32292,positive,  We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦  ,[-2.7010965  1.0619085  1.3801497],2
4622,positive, This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings !  // t . co / lG4IW3Qu6q  ,[-2.6927514   0.40058267  1.8947376 ],2
22338,negative,  tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?  ,[ 0.91839546 -0.07911432 -0.96562254],0
23996,positive, you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—  ,[-2.4867785 -0.3801006  2.5267687],2
10426,positive,    Wah bhai Shandaar jabab  ,[-2.7631116  -0.03836458  2.491969  ],2
3038,neutral,     _ goa  _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦  ,[-0.380866    0.71113443 -0.30903023],1
37328,negative, Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da  ,[ 1.7512642  -0.25448784 -1.2906666 ],0
11313,neutral,Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦  // t co / Dlsp4clk52  ,[-0.55115306  0.6870149  -0.10284114],1
32158,positive,   Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko  ,[-2.412384   -0.43625194  2.713961  ],2
2598,neutral,  Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦  ,[ 0.39720234  1.0461591  -1.4488586 ],1
12837,neutral,  _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤—  // t . co / dNFMsFJNcF  ,[-1.4221387  2.5780694 -0.607179 ],1
26050,negative,Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar   â€¦  // t . co / 3FfAp8y2GP  ,[ 0.47912404  0.13038458 -0.64087296],0
30898,positive,  Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡:registered:ðŸ‡³  ,[-2.0765538  -0.20870742  2.2170095 ],2
22656,neutral,    Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦  // t co / d4uOIcb562  ,[-1.8887393   2.4480083  -0.36015764],1
2755,negative,Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦  // t co / DKMZdwqd1c  ,[ 1.5564457  -0.20765476 -1.3525186 ],0
16061,neutral,  _ BANERJ _ E  Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦  // t co / GPIt7Q9zJx  ,[-0.2638138   1.3863864  -0.87329394],1
3364,neutral, Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦  // t co / EvFXqDkBZn  ,[-0.12012679  0.9417415  -0.80871326],1
2926,neutral, Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦  // tco / K8OGQIeznf  ,[-1.6691586  1.1806356  0.6469248],1
29391,neutral, __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti  ,[-0.65398294  1.5933974  -0.8621145 ],1
36692,positive,  Congrats and best of luck to   he reminds about you of your looks o â€¦  // t co / xn4pbtUiCz  ,[-2.9873219  0.6804978  2.076148 ],2
24682,positive,  Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦  ,[-3.0733612  1.0654844  1.7460151],2
21692,neutral,  You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦  ,[-2.3332732   2.3225062   0.13301837],1
16349,negative, Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per  ,[ 2.0433564 -0.6485541 -1.5193938],0
22282,neutral, why did i not see them kuch mahine pehle eye -  ,[-0.75749594  2.164432   -0.6447622 ],1
9078,neutral, Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega  aaram se elections jeetegi ... Aur ent â€¦  // t . co / Djgtp4hTtb  ,[ 0.41235507  1.0658164  -1.4453782 ],1
10672,neutral,i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .  ,[-0.222787    1.0787427  -0.72314554],1
44031,negative, Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦  // t . co / 0msQw3omXN  ,[ 2.4932182 -0.6593407 -1.7208587],0
36522,positive,Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat  ,[-2.4173274   0.00638569  2.387249  ],2
16135,negative, _ dhoni  iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii  ,[ 2.1839523  -0.46204054 -1.5747827 ],0
18612,negative,Tum jaise bike hue godi media ke show me nahi Jana rashtra hit me bahut achha faisla hai . Aise media ko parmanent i â€¦  // t . co / Fyqer2WHG8  ,[ 0.94998723  0.5068848  -1.3732916 ],0
5794,positive, My parents love them too so yes haha ðŸ˜‚ðŸ’œ almost everyone from my fam actually  ,[-2.8885617  0.8158223  1.630081 ],2
17667,neutral,Sir  Aap bhi aisa drama kr do kam se km  // t . co / hbCFHG6tek  ,[-0.8911323  1.983898  -0.7777202],1
16583,neutral,   105 all out # HarJagahDher 150 run to bante nahi lekin kashmir chahiye bc .  ,[-0.02555258  0.3644491  -0.38489586],1
25678,neutral,   Ye to aise apni details de rahe jaise iske Ghar ladki byahni ho humne apne .ðŸ˜‚ mansik santulan thik nhi iska â€¦  ,[-0.6537163   1.5010853  -0.82552725],1
10844,negative,   corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦  ,[ 1.0755934   0.72510374 -1.6046315 ],0
3791,negative,  Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦  // t . co / BNGlv19Wlj  ,[ 2.3057702  -0.34358388 -1.7469817 ],0
21624,negative,  Mansoor _ Ali   _ PPP  Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair  ,[ 0.28852293  0.12690867 -0.62438667],0
43144,neutral, mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦  // t . co / Bi4bChsJ38  ,[ 0.609204   0.6134753 -1.0817604],1
42867,negative, Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦  // t co / RNCi0uDlOd  ,[ 0.6849262  0.1998566 -0.9706869],0
40769,positive,Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments  // t co / oQE5Fd2FBH  ,[-2.819867    0.01962532  2.4511397 ],2
